Student,HS_GPA,Unit_Enrolled,Seminar_Attended,Dropped_out,Age,Gender,Registered_Status,Commuter_Student,Seminar_D,Dropped_Out_Dummy,Gender_Dummy,Registration_Status_Dummy,Commuter_Dummy
73,3.42,5,Yes,No,22,Female,Part-time,No,1,0,0,0,0
74,2.69,15,No,No,21,Female,Full-time,Yes,0,0,0,1,1
75,2.99,11,Yes,No,20,Male,Full-time,No,1,0,1,1,0
76,3.23,11,Yes,No,19,Male,Full-time,No,1,0,1,1,0
77,2.63,9,No,No,19,Female,Full-time,Yes,0,0,0,1,1
78,3.79,11,No,No,28,Male,Full-time,No,0,0,1,1,0
79,2.17,6,Yes,Yes,19,Male,Part-time,No,1,1,1,0,0
80,2.68,12,Yes,Yes,19,Male,Full-time,No,1,1,1,1,0
81,3.37,18,No,No,19,Male,Full-time,No,0,0,1,1,0
82,3.31,11,No,No,19,Male,Full-time,No,0,0,1,1,0
83,2.93,18,No,No,19,Female,Part-time,No,0,0,0,0,0
84,2.93,12,No,No,19,Female,Part-time,No,0,0,0,0,0
85,2.17,16,Yes,Yes,19,Male,Full-time,Yes,1,1,1,1,1
86,2.26,9,Yes,Yes,20,Male,Full-time,No,1,1,1,1,0
87,2.79,6,No,No,20,Male,Part-time,Yes,0,0,1,0,1
88,2.25,16,No,No,19,Male,Full-time,No,0,0,1,1,0
89,2.47,18,No,Yes,19,Male,Full-time,No,0,1,1,1,0
90,2.88,14,Yes,Yes,20,Male,Full-time,No,1,1,1,1,0
91,2.79,17,No,Yes,18,Female,Full-time,No,0,1,0,1,0
92,3.19,12,No,No,20,Male,Full-time,No,0,0,1,1,0
93,2.66,13,Yes,No,19,Female,Full-time,No,1,0,0,1,0
94,2.19,8,No,No,19,Female,Full-time,No,0,0,0,1,0
95,2.13,11,No,Yes,21,Male,Full-time,Yes,0,1,1,1,1
96,3.15,14,No,No,23,Male,Full-time,No,0,0,1,1,0
97,2.41,6,No,Yes,22,Female,Part-time,Yes,0,1,0,0,1
98,2.84,5,No,No,19,Female,Part-time,No,0,0,0,0,0
99,2.85,12,No,Yes,18,Female,Full-time,No,0,1,0,1,0
100,3.03,16,No,No,18,Male,Full-time,No,0,0,1,1,0
101,3.17,7,Yes,No,22,Female,Part-time,No,1,0,0,0,0
102,2.57,8,No,No,19,Male,Full-time,No,0,0,1,1,0
103,3.01,7,Yes,No,19,Female,Part-time,Yes,1,0,0,0,1
104,3.01,7,No,No,19,Female,Part-time,No,0,0,0,0,0
105,2.81,8,No,No,19,Female,Part-time,No,0,0,0,0,0
106,2.82,6,No,No,19,Female,Part-time,Yes,0,0,0,0,1
107,3.02,13,No,No,19,Female,Part-time,No,0,0,0,0,0
108,2.46,9,No,No,19,Female,Part-time,No,0,0,0,0,0
109,2.63,7,No,No,19,Male,Part-time,No,0,0,1,0,0
110,2.96,8,No,No,20,Male,Full-time,Yes,0,0,1,1,1
111,2.57,7,Yes,Yes,19,Female,Part-time,No,1,1,0,0,0
112,2.24,14,No,No,19,Female,Full-time,No,0,0,0,1,0
113,2.62,17,Yes,No,19,Male,Full-time,Yes,1,0,1,1,1
114,3.59,14,No,No,20,Female,Full-time,Yes,0,0,0,1,1
115,3.53,16,No,No,20,Male,Full-time,No,0,0,1,1,0
116,2.14,3,No,No,20,Female,Part-time,No,0,0,0,0,0
117,2.9,15,No,No,22,Female,Part-time,No,0,0,0,0,0
118,3.78,4,No,No,20,Male,Part-time,No,0,0,1,0,0
119,2.92,13,Yes,No,19,Female,Part-time,No,1,0,0,0,0
120,2.17,10,No,Yes,18,Male,Part-time,No,0,1,1,0,0
121,2.41,6,No,No,19,Female,Part-time,No,0,0,0,0,0
122,2.68,13,Yes,No,20,Male,Full-time,No,1,0,1,1,0
123,2.19,18,Yes,Yes,19,Male,Full-time,No,1,1,1,1,0
124,2.46,16,No,No,20,Female,Full-time,No,0,0,0,1,0
125,3.1,14,Yes,No,38,Male,Full-time,Yes,1,0,1,1,1
126,2.82,17,Yes,Yes,18,Male,Full-time,No,1,1,1,1,0
127,2.29,12,No,No,19,Male,Full-time,Yes,0,0,1,1,1
128,2.72,13,No,No,18,Female,Full-time,No,0,0,0,1,0
129,2.1,7,Yes,Yes,18,Male,Part-time,No,1,1,1,0,0
130,2.54,14,Yes,No,19,Female,Full-time,Yes,1,0,0,1,1
131,2.7,11,Yes,No,33,Male,Part-time,No,1,0,1,0,0
132,3.48,15,No,No,25,Female,Part-time,No,0,0,0,0,0
133,2.77,13,No,No,20,Female,Part-time,Yes,0,0,0,0,1
134,2.67,13,No,No,20,Male,Part-time,No,0,0,1,0,0
135,2.21,16,No,No,20,Male,Part-time,No,0,0,1,0,0
136,2.61,9,No,No,18,Female,Part-time,No,0,0,0,0,0
137,3.42,18,No,Yes,19,Male,Part-time,No,0,1,1,0,0
138,3.47,13,No,No,19,Female,Part-time,No,0,0,0,0,0
139,2.49,17,No,No,19,Female,Part-time,Yes,0,0,0,0,1
140,2.62,11,No,No,19,Male,Full-time,No,0,0,1,1,0
141,2.27,10,Yes,No,19,Male,Full-time,Yes,1,0,1,1,1
142,2.64,17,No,Yes,19,Male,Full-time,No,0,1,1,1,0
143,2.6,18,No,Yes,19,Female,Full-time,No,0,1,0,1,0
144,2.31,12,No,No,19,Male,Full-time,No,0,0,1,1,0
145,3.0,11,No,No,20,Female,Full-time,No,0,0,0,1,0
146,2.48,12,Yes,Yes,19,Male,Full-time,No,1,1,1,1,0
147,3.65,17,No,No,18,Male,Full-time,No,0,0,1,1,0
148,2.01,17,No,No,19,Female,Full-time,No,0,0,0,1,0
149,3.67,14,No,No,20,Female,Full-time,No,0,0,0,1,0
150,2.32,10,No,No,27,Female,Full-time,Yes,0,0,0,1,1
151,2.94,14,No,Yes,20,Male,Full-time,No,0,1,1,1,0
152,3.42,13,Yes,No,28,Female,Full-time,No,1,0,0,1,0
153,3.87,12,No,No,20,Female,Full-time,Yes,0,0,0,1,1
154,2.71,14,Yes,No,28,Male,Full-time,No,1,0,1,1,0
155,3.9,13,No,No,19,Female,Full-time,Yes,0,0,0,1,1
156,2.79,13,No,Yes,18,Female,Part-time,Yes,0,1,0,0,1
157,2.19,10,Yes,No,18,Male,Full-time,No,1,0,1,1,0
158,3.01,16,No,No,18,Male,Full-time,No,0,0,1,1,0
159,3.29,17,No,No,18,Male,Full-time,No,0,0,1,1,0
160,2.41,12,No,No,19,Female,Full-time,Yes,0,0,0,1,1
161,3.46,16,No,No,19,Female,Full-time,Yes,0,0,0,1,1
162,2.58,13,No,No,19,Female,Part-time,No,0,0,0,0,0
163,2.48,18,No,No,18,Female,Part-time,No,0,0,0,0,0
164,2.64,11,No,No,18,Female,Part-time,Yes,0,0,0,0,1
165,2.59,17,No,Yes,18,Male,Part-time,No,0,1,1,0,0
166,2.16,18,Yes,No,18,Female,Part-time,No,1,0,0,0,0
167,3.48,17,No,No,22,Female,Full-time,No,0,0,0,1,0
168,2.94,14,No,No,18,Female,Full-time,Yes,0,0,0,1,1
169,2.92,13,Yes,No,20,Male,Full-time,No,1,0,1,1,0
170,3.41,18,No,No,19,Male,Part-time,No,0,0,1,0,0
171,3.64,11,Yes,No,20,Female,Full-time,No,1,0,0,1,0
172,2.73,18,Yes,Yes,18,Male,Full-time,Yes,1,1,1,1,1
173,3.06,8,No,No,19,Female,Full-time,No,0,0,0,1,0
174,3.03,18,No,No,23,Male,Full-time,Yes,0,0,1,1,1
175,2.28,13,No,No,18,Female,Full-time,No,0,0,0,1,0
176,2.72,16,Yes,No,18,Male,Full-time,Yes,1,0,1,1,1
177,2.85,8,Yes,No,19,Male,Full-time,No,1,0,1,1,0
178,3.42,7,No,No,19,Male,Part-time,Yes,0,0,1,0,1
179,2.16,15,Yes,Yes,19,Female,Full-time,No,1,1,0,1,0
180,2.88,10,Yes,No,19,Female,Full-time,Yes,1,0,0,1,1
181,2.1,15,No,No,25,Male,Full-time,No,0,0,1,1,0
182,2.94,11,No,No,20,Male,Full-time,No,0,0,1,1,0
183,2.66,14,No,No,19,Male,Full-time,No,0,0,1,1,0
184,2.44,14,Yes,No,19,Male,Full-time,No,1,0,1,1,0
185,2.18,13,Yes,Yes,19,Male,Full-time,No,1,1,1,1,0
186,2.69,13,No,Yes,19,Male,Full-time,No,0,1,1,1,0
187,2.93,15,No,No,19,Male,Part-time,No,0,0,1,0,0
188,2.64,17,Yes,No,19,Female,Part-time,No,1,0,0,0,0
189,2.6,18,No,Yes,19,Male,Full-time,Yes,0,1,1,1,1
190,2.31,12,Yes,No,19,Female,Full-time,No,1,0,0,1,0
191,3.0,11,No,No,18,Male,Full-time,No,0,0,1,1,0
192,2.48,12,Yes,No,18,Male,Full-time,No,1,0,1,1,0
193,3.65,17,No,No,19,Male,Full-time,Yes,0,0,1,1,1
194,2.01,17,Yes,No,18,Male,Full-time,Yes,1,0,1,1,1
195,3.67,14,No,No,19,Female,Full-time,Yes,0,0,0,1,1
196,2.32,10,Yes,No,19,Male,Full-time,No,1,0,1,1,0
197,2.94,14,No,Yes,20,Female,Full-time,Yes,0,1,0,1,1
198,3.42,13,No,No,19,Female,Full-time,No,0,0,0,1,0
199,3.87,12,No,No,18,Female,Full-time,Yes,0,0,0,1,1
200,2.71,14,No,No,19,Female,Full-time,No,0,0,0,1,0
201,3.9,13,No,No,19,Female,Full-time,Yes,0,0,0,1,1
202,2.79,13,No,No,19,Female,Full-time,No,0,0,0,1,0
203,2.19,10,No,No,19,Male,Part-time,No,0,0,1,0,0
204,3.01,16,No,No,19,Female,Part-time,Yes,0,0,0,0,1
205,3.29,17,Yes,No,20,Male,Part-time,No,1,0,1,0,0
206,2.41,12,No,Yes,21,Female,Part-time,No,0,1,0,0,0
207,3.46,16,No,No,21,Female,Full-time,No,0,0,0,1,0
208,2.58,13,No,No,31,Male,Full-time,Yes,0,0,1,1,1
209,2.48,18,Yes,No,21,Female,Full-time,No,1,0,0,1,0
210,2.64,6,Yes,No,18,Male,Part-time,Yes,1,0,1,0,1
211,2.59,17,Yes,No,19,Male,Full-time,No,1,0,1,1,0
212,2.16,18,No,No,21,Male,Full-time,No,0,0,1,1,0
213,3.48,17,Yes,No,20,Female,Full-time,No,1,0,0,1,0
214,2.94,14,No,No,18,Male,Full-time,No,0,0,1,1,0
215,2.92,13,Yes,Yes,19,Male,Full-time,No,1,1,1,1,0
216,3.41,18,No,No,21,Male,Full-time,No,0,0,1,1,0
217,3.64,11,Yes,No,19,Male,Full-time,Yes,1,0,1,1,1
218,2.73,18,No,No,20,Female,Full-time,No,0,0,0,1,0
219,3.06,8,No,No,20,Female,Full-time,Yes,0,0,0,1,1
220,3.03,18,Yes,No,21,Male,Full-time,No,1,0,1,1,0
221,2.28,13,No,No,21,Female,Full-time,No,0,0,0,1,0
222,2.72,16,No,No,20,Female,Full-time,Yes,0,0,0,1,1
223,2.85,8,No,No,18,Female,Full-time,No,0,0,0,1,0
224,3.42,7,No,No,19,Female,Part-time,No,0,0,0,0,0
225,2.16,15,Yes,Yes,20,Male,Part-time,Yes,1,1,1,0,1
226,2.88,10,Yes,No,21,Male,Part-time,No,1,0,1,0,0
227,2.1,15,Yes,Yes,19,Female,Part-time,No,1,1,0,0,0
228,2.94,11,No,No,19,Female,Full-time,No,0,0,0,1,0
229,2.66,14,Yes,No,19,Male,Full-time,Yes,1,0,1,1,1
230,3.44,14,No,No,36,Male,Full-time,No,0,0,1,1,0
231,2.18,13,No,No,19,Female,Full-time,No,0,0,0,1,0
232,2.69,13,No,Yes,19,Female,Full-time,Yes,0,1,0,1,1
233,2.93,15,Yes,Yes,19,Male,Full-time,No,1,1,1,1,0
234,2.82,13,No,No,21,Female,Full-time,No,0,0,0,1,0
235,2.97,10,Yes,No,19,Female,Full-time,Yes,1,0,0,1,1
236,2.43,12,No,No,19,Male,Full-time,No,0,0,1,1,0
237,3.69,10,No,No,19,Female,Full-time,Yes,0,0,0,1,1
238,3.21,11,Yes,No,19,Female,Full-time,No,1,0,0,1,0
239,3.05,10,No,Yes,19,Female,Full-time,No,0,1,0,1,0
240,2.66,13,No,Yes,21,Female,Full-time,No,0,1,0,1,0
241,3.25,17,No,No,19,Male,Full-time,Yes,0,0,1,1,1
242,2.82,16,No,No,19,Female,Full-time,No,0,0,0,1,0
243,3.34,13,No,No,20,Female,Full-time,Yes,0,0,0,1,1
244,3.75,9,No,No,19,Male,Full-time,Yes,0,0,1,1,1
245,3.14,7,Yes,No,19,Male,Part-time,Yes,1,0,1,0,1
246,3.46,15,Yes,No,32,Male,Full-time,No,1,0,1,1,0
247,3.39,15,No,No,19,Male,Full-time,No,0,0,1,1,0
248,3.14,9,Yes,No,19,Female,Full-time,No,1,0,0,1,0
249,2.52,9,No,No,19,Female,Full-time,No,0,0,0,1,0
250,3.37,8,No,No,23,Female,Full-time,No,0,0,0,1,0
251,3.67,8,Yes,No,19,Male,Full-time,Yes,1,0,1,1,1
252,3.55,17,No,No,19,Female,Full-time,Yes,0,0,0,1,1
253,3.36,15,Yes,No,21,Male,Full-time,No,1,0,1,1,0
254,2.1,11,No,No,19,Male,Full-time,No,0,0,1,1,0
255,2.47,16,No,No,21,Male,Full-time,No,0,0,1,1,0
256,2.86,12,No,Yes,22,Female,Full-time,No,0,1,0,1,0
257,3.25,6,No,No,23,Female,Part-time,No,0,0,0,0,0
258,2.89,12,No,No,24,Male,Full-time,Yes,0,0,1,1,1
259,2.78,12,Yes,Yes,19,Female,Full-time,Yes,1,1,0,1,1
260,3.21,15,Yes,No,25,Female,Full-time,Yes,1,0,0,1,1
261,2.83,15,Yes,No,40,Male,Full-time,Yes,1,0,1,1,1
262,3.24,10,No,No,27,Female,Full-time,No,0,0,0,1,0
263,2.26,16,No,No,27,Female,Full-time,No,0,0,0,1,0
264,2.89,7,No,No,20,Female,Part-time,No,0,0,0,0,0
265,2.88,17,No,Yes,29,Female,Full-time,No,0,1,0,1,0
266,2.6,14,Yes,Yes,29,Female,Full-time,No,1,1,0,1,0
267,2.24,10,Yes,No,27,Female,Full-time,No,1,0,0,1,0
268,2.74,15,Yes,No,31,Female,Full-time,No,1,0,0,1,0
269,3.14,13,No,No,21,Male,Full-time,Yes,0,0,1,1,1
270,2.71,15,Yes,Yes,27,Female,Full-time,Yes,1,1,0,1,1
271,2.62,14,No,No,26,Female,Full-time,Yes,0,0,0,1,1
272,3.41,7,No,No,36,Female,Part-time,No,0,0,0,0,0
273,2.66,16,No,Yes,37,Female,Part-time,No,0,1,0,0,0
274,2.75,9,Yes,No,27,Male,Part-time,No,1,0,1,0,0
275,2.74,15,Yes,No,37,Female,Part-time,No,1,0,0,0,0
276,3.91,11,Yes,No,30,Male,Part-time,Yes,1,0,1,0,1
277,3.23,17,Yes,Yes,19,Female,Full-time,No,1,1,0,1,0
278,2.53,10,No,No,36,Male,Full-time,Yes,0,0,1,1,1
279,3.05,11,No,No,20,Male,Full-time,No,0,0,1,1,0
280,2.72,10,No,No,19,Female,Full-time,No,0,0,0,1,0
281,2.38,7,Yes,No,18,Female,Part-time,No,1,0,0,0,0
282,2.46,13,No,No,19,Female,Full-time,No,0,0,0,1,0
283,2.59,8,No,No,19,Male,Full-time,No,0,0,1,1,0
284,2.66,13,Yes,No,40,Female,Full-time,No,1,0,0,1,0
285,2.85,12,Yes,No,18,Female,Full-time,No,1,0,0,1,0
286,3.05,9,Yes,No,18,Female,Full-time,No,1,0,0,1,0
287,3.84,17,Yes,No,18,Male,Full-time,No,1,0,1,1,0
288,3.53,8,No,No,19,Female,Full-time,Yes,0,0,0,1,1
289,3.08,7,No,No,19,Male,Part-time,Yes,0,0,1,0,1
290,2.95,14,No,No,19,Male,Full-time,No,0,0,1,1,0
291,2.61,9,No,No,20,Female,Full-time,Yes,0,0,0,1,1
292,2.95,14,Yes,No,20,Female,Full-time,Yes,1,0,0,1,1
293,3.1,14,No,No,18,Female,Full-time,No,0,0,0,1,0
294,2.83,6,Yes,No,18,Female,Part-time,No,1,0,0,0,0
295,3.26,13,No,No,20,Male,Full-time,Yes,0,0,1,1,1
296,3.34,15,No,No,20,Male,Full-time,Yes,0,0,1,1,1
297,3.5,15,No,No,18,Male,Full-time,No,0,0,1,1,0
298,2.35,14,No,Yes,23,Female,Full-time,Yes,0,1,0,1,1
299,3.34,12,No,No,20,Female,Full-time,No,0,0,0,1,0
300,2.16,11,Yes,Yes,24,Female,Part-time,No,1,1,0,0,0
301,2.67,8,No,No,21,Female,Part-time,Yes,0,0,0,0,1
302,2.49,17,No,No,21,Female,Part-time,No,0,0,0,0,0
303,2.86,13,No,Yes,23,Female,Part-time,Yes,0,1,0,0,1
304,3.01,14,Yes,No,23,Male,Full-time,No,1,0,1,1,0
305,2.99,16,Yes,Yes,22,Female,Full-time,No,1,1,0,1,0
306,3.03,18,No,No,21,Female,Full-time,No,0,0,0,1,0
307,3.85,10,Yes,No,22,Female,Full-time,No,1,0,0,1,0
308,2.55,11,Yes,No,19,Male,Full-time,No,1,0,1,1,0
309,2.62,16,No,Yes,22,Female,Full-time,No,0,1,0,1,0
310,2.87,17,No,No,19,Male,Part-time,Yes,0,0,1,0,1
311,2.21,15,No,Yes,20,Female,Full-time,No,0,1,0,1,0
312,2.93,16,No,No,21,Female,Full-time,No,0,0,0,1,0
313,2.67,16,No,Yes,19,Male,Full-time,No,0,1,1,1,0
314,2.38,7,No,Yes,20,Female,Part-time,No,0,1,0,0,0
315,3.35,14,No,No,20,Male,Full-time,No,0,0,1,1,0
316,3.48,9,No,No,21,Female,Full-time,No,0,0,0,1,0
317,2.94,14,Yes,No,19,Female,Full-time,No,1,0,0,1,0
318,2.7,11,No,Yes,19,Female,Full-time,No,0,1,0,1,0
319,2.82,7,Yes,No,21,Female,Part-time,Yes,1,0,0,0,1
320,2.65,11,No,No,21,Female,Full-time,Yes,0,0,0,1,1
321,2.28,11,No,Yes,19,Male,Full-time,No,0,1,1,1,0
322,2.66,12,No,No,18,Female,Full-time,No,0,0,0,1,0
323,2.19,13,Yes,Yes,20,Female,Full-time,No,1,1,0,1,0
324,3.16,16,No,No,19,Male,Full-time,No,0,0,1,1,0
325,3.62,18,No,No,25,Female,Full-time,Yes,0,0,0,1,1
326,2.4,18,Yes,No,19,Female,Part-time,No,1,0,0,0,0
327,3.01,14,Yes,No,26,Female,Part-time,No,1,0,0,0,0
328,2.77,14,No,Yes,23,Female,Part-time,No,0,1,0,0,0
329,3.64,17,No,No,24,Female,Part-time,Yes,0,0,0,0,1
330,3.77,13,Yes,No,28,Female,Full-time,No,1,0,0,1,0
331,2.67,11,No,No,19,Male,Full-time,No,0,0,1,1,0
332,2.4,6,No,No,23,Female,Part-time,No,0,0,0,0,0
333,3.41,18,No,No,27,Female,Full-time,Yes,0,0,0,1,1
334,2.79,15,No,No,26,Male,Full-time,No,0,0,1,1,0
335,3.2,14,Yes,No,30,Female,Part-time,Yes,1,0,0,0,1
336,3.53,12,No,No,21,Female,Full-time,Yes,0,0,0,1,1
337,2.68,15,No,No,19,Female,Full-time,No,0,0,0,1,0
338,3.57,15,No,No,30,Female,Full-time,No,0,0,0,1,0
339,3.17,13,No,No,22,Male,Full-time,No,0,0,1,1,0
340,2.85,12,No,No,27,Female,Full-time,No,0,0,0,1,0
341,3.71,10,No,No,24,Male,Full-time,Yes,0,0,1,1,1
342,3.19,17,No,No,22,Female,Full-time,Yes,0,0,0,1,1
343,2.94,16,No,Yes,27,Male,Full-time,No,0,1,1,1,0
344,2.91,12,No,Yes,20,Male,Full-time,No,0,1,1,1,0
345,2.8,13,No,No,18,Female,Full-time,No,0,0,0,1,0
346,2.89,8,Yes,No,19,Female,Full-time,No,1,0,0,1,0
347,2.32,16,Yes,No,20,Female,Full-time,Yes,1,0,0,1,1
348,2.75,12,No,No,19,Female,Full-time,No,0,0,0,1,0
349,3.3,11,No,No,20,Female,Full-time,No,0,0,0,1,0
350,3.22,12,No,Yes,20,Female,Full-time,Yes,0,1,0,1,1
351,2.08,6,No,No,20,Male,Part-time,No,0,0,1,0,0
352,3.87,18,Yes,No,20,Female,Full-time,Yes,1,0,0,1,1
353,2.16,6,No,No,20,Female,Part-time,No,0,0,0,0,0
354,2.95,14,No,No,20,Male,Part-time,No,0,0,1,0,0
355,2.39,11,No,No,18,Male,Part-time,No,0,0,1,0,0
356,2.75,7,Yes,No,19,Female,Part-time,No,1,0,0,0,0
357,2.17,16,Yes,Yes,30,Male,Full-time,Yes,1,1,1,1,1
358,3.13,12,No,No,20,Male,Full-time,No,0,0,1,1,0
359,2.82,8,No,No,18,Female,Full-time,No,0,0,0,1,0
360,2.68,9,Yes,No,18,Female,Full-time,Yes,1,0,0,1,1
361,2.83,8,No,No,19,Male,Full-time,No,0,0,1,1,0
362,3.14,15,No,Yes,19,Female,Full-time,No,0,1,0,1,0
363,4.0,15,Yes,No,28,Male,Full-time,Yes,1,0,1,1,1
364,3.8,18,Yes,No,29,Female,Full-time,Yes,1,0,0,1,1
365,2.54,8,Yes,No,34,Female,Full-time,No,1,0,0,1,0
366,2.4,10,Yes,No,30,Male,Full-time,No,1,0,1,1,0
367,2.01,9,No,Yes,21,Female,Full-time,No,0,1,0,1,0
368,3.05,16,Yes,Yes,24,Female,Full-time,No,1,1,0,1,0
369,3.16,7,No,No,29,Male,Part-time,No,0,0,1,0,0
370,3.15,9,No,No,20,Female,Full-time,No,0,0,0,1,0
371,2.24,14,No,Yes,23,Female,Full-time,No,0,1,0,1,0
372,3.41,17,No,No,28,Female,Full-time,Yes,0,0,0,1,1
373,2.75,13,Yes,No,21,Female,Full-time,Yes,1,0,0,1,1
374,2.99,12,No,No,30,Female,Full-time,No,0,0,0,1,0
375,3.04,15,No,No,24,Female,Full-time,No,0,0,0,1,0
376,2.1,11,Yes,Yes,24,Female,Full-time,No,1,1,0,1,0
377,2.9,7,No,No,20,Female,Part-time,No,0,0,0,0,0
378,2.72,10,No,No,24,Female,Full-time,No,0,0,0,1,0
379,2.69,8,Yes,No,34,Male,Full-time,No,1,0,1,1,0
380,3.2,16,No,No,26,Male,Full-time,No,0,0,1,1,0
381,2.85,8,No,No,20,Male,Full-time,No,0,0,1,1,0
382,2.46,16,No,No,18,Female,Full-time,No,0,0,0,1,0
383,2.4,13,Yes,No,28,Female,Full-time,No,1,0,0,1,0
384,3.14,18,No,No,19,Female,Full-time,Yes,0,0,0,1,1
385,2.49,12,No,Yes,26,Female,Full-time,No,0,1,0,1,0
386,3.67,13,No,No,19,Male,Full-time,Yes,0,0,1,1,1
